job_title,job_id,date_posted,state_province,area_of_work,min_salary,max_salary,position_type,required_education,preferred_education,preferred_technical_experience
IBM FinOps Product Marketing Intern,89123,27-Jan-2026,"Texas, Washington",Product Management,"88,000.00","152,000.00",Internship,High School Diploma/GED,Bachelor's Degree,"Create up to 3 bullets max. You can get inspired by these few examples below. A/B Testing and Funnel Metrics Mastery: Showcase experience in implementing A/B testing at scale, coupled with the ability to track and diagnose funnel metrics. Prove a proven record of generating substantial growth through analytics [INCLUDE AS REQUIRED FOR PLG ROLES]. Agile Product Management in Cloud Environments: Bring forth prior Product Management experience in an Agile development environment. Demonstrate a track record of driving significant product growth on a cloud-focused platform. Exposure to DevOps/GitOps solutions, and proficiency in AWS, Azure, GCP, and/or Kubernetes is essential for success. Optional Product Line Specific Expertise (1-2 Bullets): [Feel free to insert product line specific knowledge or experiences that would uniquely contribute to the quick ramp-up and impactful performance of the role.]"
Intern 2026: Software Engineer - Semiconductor,59691,10-Dec-2025,"New York, Massachusetts, California",Software Engineering,"78,624.00","144,144.00",Internship,High School Diploma/GED,Bachelor's Degree,"Prior programming, computational or data analysis experience through projects or coursework"
Solution Architect - Workday,81210,26-Jan-2026,"Illinois, Texas, New York, California",Consulting,"147,000.00","254,000.00",Professional,Bachelor's Degree,,"Bachelor’s or Master’s in Business, HR, or Information Systems (or equivalent). 
7+ years of Workday HCM experience including large, global deployments. 
Deep functional expertise in Core HCM plus two or more modules (Compensation, Benefits, Talent, Learning, Payroll, or Time Tracking). 
Strong understanding of business process frameworks, security, and integrations. 
Demonstrated leadership in solution architecture or practice management. 
Exceptional stakeholder management and communication skills. 
Workday HCM certification required; additional module certifications a plus."
Technical Lead TS/SCI W/FSP,75693,09-Dec-2025,"Virginia, Maryland, District of Columbia",Infrastructure & Technology,"144,000.00","248,000.00",Professional,Bachelor's Degree,Master's Degree,"•                    Advanced degree in Software Engineering, Information Technology, or Computer Science
•                    Experience designing and implementing multi-cloud solutions
•                    Experience with emerging technologies to include leveraging Artificial Intelligence (AI) capability"
Hardware Test Engineer Intern,73409,16-Jan-2026,"Minnesota, Texas, New York, North Carolina, Arizona",Infrastructure & Technology,"58,200.00","106,700.00",Internship,High School Diploma/GED,,"Proficiency in one or more of the following technology areas:
Microprocessor/ASIC Design Skills: VHDL, Verilog, RTL, SPICE, TCL, UVM, verification, and testing
Computer Architecture coursework: VLSI Design, Microprocessors, Computer Architecture and Organization, Signal Integrity (Electromagnetics, RF, etc)
Programming Skills: C/C++ or another object-oriented language, Git, Linux, GDB or another debugger, Agile practices
Scripting Skills: Python, APDL, TCL, Bash, Perl, or Java
Proficiency in CAD tools and 3D modeling
Familiarity with various hardware architectures: VLSI, FPGA, MIPS, RISC-V, Arm, x86, Arduino, Quantum systems
3-6 months of team-based work experience with hardware products
Interest and experience in automation and AI
Familiarity with Linux, including system administration and KVM
Troubleshooting, investigation, and problem resolution
Experience with IBM platforms such as Z or Power
Experience building and deploying containerized applications"
Software Engineer Apprentice,43140,06-Jan-2026,Massachusetts,Software Engineering,"89,760.00","98,736.00",Internship,High School Diploma/GED,Associate's Degree/College Diploma,
2026 Intern Conversion,48576,03-Nov-2025,"Georgia, Minnesota, Illinois, Texas, New York, North Carolina, Virginia, Arizona, Massachusetts, California, District of Columbia",Cloud,"75,250.00","139,750.00",Entry Level,Bachelor's Degree,Bachelor's Degree,
Maximo Functional Lead,71354,15-Jan-2026,"Georgia, New York, North Carolina, Pennsylvania, Massachusetts, Louisiana, New Jersey",Consulting,"118,000.00","203,000.00",Professional,Bachelor's Degree,Bachelor's Degree,"Additional highly desirable skills/qualifications:
Understanding or experience with Maximo Application Suite architecture and its offerings (Monitor, Health, Predict).
Familiarity or experience with IBM Mobile implementation or exposure to IBM Mobile architecture.
Experience in the Energy and Utilities industry, across Transmission, Distribution and Generation for Gas, Electric and Nuclear.
Understanding of Maintenance Excellence, Asset Reliability Principles and Strategies."
Oracle Cloud Financials Architect,66970,20-Oct-2025,"Georgia, Florida, Illinois, Texas, New York, North Carolina, Colorado, Washington, Massachusetts, California",Consulting,"90,500.00","211,300.00",Professional,Bachelor's Degree,,
Workday Test Lead,73698,26-Dec-2025,New York,,"127,000.00","219,000.00",Professional,Bachelor's Degree,Bachelor's Degree,
